scan_name,plane,scan_point,correction_x,correction_y
9212_01Oct23_004415_01Oct23_010327,1,0,0.04407372295851808,0.21611826075267465
9212_01Oct23_004415_01Oct23_010327,1,1,-0.39439750212307695,0.12969892687363765
9212_01Oct23_004415_01Oct23_010327,1,2,-0.6231886503233752,0.049381150249957935
9212_01Oct23_004415_01Oct23_010327,1,3,-1.0029966633127787,-0.03454008572486159
9212_01Oct23_004415_01Oct23_010327,1,4,-1.0335182986844078,-0.10236505939529929
9212_01Oct23_004415_01Oct23_010327,1,5,-1.472675062389059,-0.1854332088383486
9212_01Oct23_004415_01Oct23_010327,1,6,-1.4498963597050358,-0.23720037900436275
9212_01Oct23_004415_01Oct23_010327,1,7,-1.610179008224473,-0.22992251969793265
9212_01Oct23_004415_01Oct23_010327,1,8,-1.517146095101913,-0.20986711807995448
9212_01Oct23_004415_01Oct23_010327,1,9,-1.7249238566063307,-0.1977050970193204
9212_01Oct23_004415_01Oct23_010327,1,10,-1.5454387588369183,-0.18489524803910626
9212_01Oct23_004415_01Oct23_010327,1,11,-1.4198532242373627,-0.15378946706614482
9212_01Oct23_004415_01Oct23_010327,1,12,-1.0767563807035094,-0.11322874623735568
9212_01Oct23_004415_01Oct23_010327,1,13,-0.9247341886956667,-0.05679488529439279
9212_01Oct23_004415_01Oct23_010327,1,14,-0.5690464676376285,-0.054722791518856596
9212_01Oct23_004415_01Oct23_010327,1,15,-0.5341562161805397,0.016588752946077825
9212_01Oct23_004415_01Oct23_010327,1,16,-0.44584927799735247,-0.00045841910397158075
9212_01Oct23_004415_01Oct23_010327,1,17,-0.682785106738748,-0.003221123565448755
9212_01Oct23_004415_01Oct23_010327,1,18,-0.5533430936029913,-0.00878533532906667
9212_01Oct23_004415_01Oct23_010327,1,19,-0.5046691310211584,0.013835811307106205
9212_01Oct23_004415_01Oct23_010327,1,20,-0.5312073762395939,-0.02558655861883418
9212_01Oct23_004415_01Oct23_010327,1,21,-0.5123421097920287,-0.07855480056725286
9212_01Oct23_004415_01Oct23_010327,1,22,-0.7867617849643543,-0.13394063464996445
9212_01Oct23_004415_01Oct23_010327,1,23,-0.6954730135660323,-0.20680764413968686
9212_01Oct23_004415_01Oct23_010327,1,24,-0.6284362181715325,-0.27670981472181055
9212_01Oct23_004415_01Oct23_010327,2,0,0.1856452570010446,-0.007838199671664214
9212_01Oct23_004415_01Oct23_010327,2,1,0.2110994004985013,-0.22236219704738214
9212_01Oct23_004415_01Oct23_010327,2,2,0.15158727320474485,-0.47289774883464697
9212_01Oct23_004415_01Oct23_010327,2,3,0.19326370809830715,-0.5123597496154084
9212_01Oct23_004415_01Oct23_010327,2,4,0.21535186811792198,-0.49853549194932983
9212_01Oct23_004415_01Oct23_010327,2,5,0.14582230572456484,-0.5404364335408265
9212_01Oct23_004415_01Oct23_010327,2,6,0.19997038660449348,-0.5526964463411187
9212_01Oct23_004415_01Oct23_010327,2,7,0.19425322611558776,-0.5903230873125844
9212_01Oct23_004415_01Oct23_010327,2,8,0.2028650705761589,-0.5647499580445081
9212_01Oct23_004415_01Oct23_010327,2,9,0.20677713881507104,-0.6464977162898046
9212_01Oct23_004415_01Oct23_010327,2,10,0.15222808184305509,-0.49485398754390253
9212_01Oct23_004415_01Oct23_010327,2,11,0.16735442257815586,-0.4828575250597871
9212_01Oct23_004415_01Oct23_010327,2,12,0.2498175760258763,-0.5435501807566625
9212_01Oct23_004415_01Oct23_010327,2,13,0.17599256913005856,-0.510394182822613
9212_01Oct23_004415_01Oct23_010327,2,14,0.19389811263633117,-0.5972120425006434
9212_01Oct23_004415_01Oct23_010327,2,15,0.14065879759624722,-0.4795963914128818
9212_01Oct23_004415_01Oct23_010327,2,16,0.06364676352246673,-0.4861403634544362
9212_01Oct23_004415_01Oct23_010327,2,17,-0.015596704195435164,-0.5170476239096666
9212_01Oct23_004415_01Oct23_010327,2,18,0.06799639604581109,-0.40447196989907425
9212_01Oct23_004415_01Oct23_010327,2,19,0.08893777387256337,-0.3227377874937716
9212_01Oct23_004415_01Oct23_010327,2,20,0.07442301998459414,-0.3802071664198922
9212_01Oct23_004415_01Oct23_010327,2,21,0.031698278418273676,-0.4070952905206593
9212_01Oct23_004415_01Oct23_010327,2,22,-0.005870207058894779,-0.4931077025049496
9212_01Oct23_004415_01Oct23_010327,2,23,0.0038773329201742205,-0.49894197626553644
9212_01Oct23_004415_01Oct23_010327,2,24,-0.01706617203318761,-0.4121663885701399
9212_01Oct23_020644_01Oct23_022335,1,0,0.09335563721737737,-0.35688832717178237
9212_01Oct23_020644_01Oct23_022335,1,1,0.02819464420015273,-0.7874820692160972
9212_01Oct23_020644_01Oct23_022335,1,2,0.11563677973470128,-0.7139672986975141
9212_01Oct23_020644_01Oct23_022335,1,3,0.044992427176375784,-0.7309268658122203
9212_01Oct23_020644_01Oct23_022335,1,4,0.17501737700231665,-0.8499419642149786
9212_01Oct23_020644_01Oct23_022335,1,5,0.29134516914372305,-0.8447766514324307
9212_01Oct23_020644_01Oct23_022335,1,6,0.46540186630897634,-0.9745856601145291
9212_01Oct23_020644_01Oct23_022335,1,7,0.5419031513409472,-0.7169232085390553
9212_01Oct23_020644_01Oct23_022335,1,8,0.4601912072837923,-0.7095548771472865
9212_01Oct23_020644_01Oct23_022335,1,9,0.4627512556949743,-0.8374176495417763
9212_01Oct23_020644_01Oct23_022335,1,10,0.44285390024524585,-0.8056024194143807
9212_01Oct23_020644_01Oct23_022335,1,11,0.38294141548673555,-0.6763270563181177
9212_01Oct23_020644_01Oct23_022335,1,12,0.42534941086685485,-0.7822048558559732
9212_01Oct23_020644_01Oct23_022335,1,13,0.38797544399782424,-0.8140961122689995
9212_01Oct23_020644_01Oct23_022335,1,14,0.3480199749654239,-0.9825511357944615
9212_01Oct23_020644_01Oct23_022335,1,15,0.30106611454702986,-0.9514198123878378
9212_01Oct23_020644_01Oct23_022335,1,16,0.3481123336360314,-0.7486325361438888
9212_01Oct23_020644_01Oct23_022335,1,17,0.3888272775632766,-0.7948944453103658
9212_01Oct23_020644_01Oct23_022335,1,18,0.3019039183401698,-0.7359070189731677
9212_01Oct23_020644_01Oct23_022335,1,19,0.3901702756881586,-0.7889346382915392
9212_01Oct23_020644_01Oct23_022335,1,20,0.35419025244567814,-0.6342556515002568
9212_01Oct23_020644_01Oct23_022335,1,21,0.25058102012926636,-0.6473900790034472
9212_01Oct23_020644_01Oct23_022335,1,22,0.20201337838931718,-0.7777311191545788
9212_01Oct23_020644_01Oct23_022335,1,23,0.048670087251532136,-0.6943084504967417
9212_01Oct23_020644_01Oct23_022335,1,24,-0.023810346712120633,-0.8469041354492307
9212_01Oct23_020644_01Oct23_022335,2,0,0.10962308727008319,0.2682151418857837
