scan_name,plane,scan_point,correction_x,correction_y
9212_01Oct23_004415_01Oct23_010327,1,0,-0.02670507050479831,0.007771092707873609
9212_01Oct23_004415_01Oct23_010327,1,1,-0.034631969536152996,-0.12896749370288174
9212_01Oct23_004415_01Oct23_010327,1,2,-0.04818333687251625,-0.114790347021319
9212_01Oct23_004415_01Oct23_010327,1,3,-0.01785079550695179,-0.16919608229859223
9212_01Oct23_004415_01Oct23_010327,1,4,-0.0790368056519386,-0.20461266925136667
9212_01Oct23_004415_01Oct23_010327,1,5,-0.07829503451809577,-0.19935560629514426
9212_01Oct23_004415_01Oct23_010327,1,6,-0.050729637962522445,-0.3102616595791137
9212_01Oct23_004415_01Oct23_010327,1,7,-0.045099578731954554,-0.24117395137848893
9212_01Oct23_004415_01Oct23_010327,1,8,-0.14657525141354918,-0.3113509749264789
9212_01Oct23_004415_01Oct23_010327,1,9,-0.17829300007704552,-0.23213423505504613
9212_01Oct23_004415_01Oct23_010327,1,10,-0.18029545175092704,-0.14907375117282207
9212_01Oct23_004415_01Oct23_010327,1,11,-0.19106899344648476,-0.04533021010302786
9212_01Oct23_004415_01Oct23_010327,1,12,-0.12570521124005218,-0.09598627616871046
9212_01Oct23_004415_01Oct23_010327,1,13,-0.11936986367087205,-0.10138611446599825
9212_01Oct23_004415_01Oct23_010327,1,14,-0.14679432312075455,-0.0174772450666623
9212_01Oct23_004415_01Oct23_010327,1,15,-0.12375302650167314,-0.16905163427283487
9212_01Oct23_004415_01Oct23_010327,1,16,-0.1371017445447563,-0.15755687420943026
9212_01Oct23_004415_01Oct23_010327,1,17,-0.13187368109483094,0.0692469008120087
9212_01Oct23_004415_01Oct23_010327,1,18,-0.09937197382613866,-0.05118839613420596
9212_01Oct23_004415_01Oct23_010327,1,19,-0.12865153103308602,-0.11478271535266521
9212_01Oct23_004415_01Oct23_010327,1,20,-0.038649796090708954,0.024823649788346763
9212_01Oct23_004415_01Oct23_010327,1,21,-0.03095259951230861,-0.017666162668977844
9212_01Oct23_004415_01Oct23_010327,1,22,-0.008469407647232474,-0.06384220651195376
9212_01Oct23_004415_01Oct23_010327,1,23,-0.013608804226170057,-0.009589332262521807
9212_01Oct23_004415_01Oct23_010327,1,24,0.046128871065823085,-0.02986648267417545
9212_01Oct23_004415_01Oct23_010327,2,0,0.11945104497643964,0.06235729771371379
9212_01Oct23_004415_01Oct23_010327,2,1,0.1460537156182178,0.04536550038653636
9212_01Oct23_004415_01Oct23_010327,2,2,0.07344016234004559,0.11925719163873721
9212_01Oct23_004415_01Oct23_010327,2,3,0.15693073320036194,0.05632772858323032
9212_01Oct23_004415_01Oct23_010327,2,4,0.06795162948800192,0.2283227166909249
9212_01Oct23_004415_01Oct23_010327,2,5,0.08897018116165592,0.25909006153117947
9212_01Oct23_004415_01Oct23_010327,2,6,0.20945096657364037,0.16712102540008753
9212_01Oct23_004415_01Oct23_010327,2,7,0.26966498506038705,0.15246136048370496
9212_01Oct23_004415_01Oct23_010327,2,8,0.25488690602316094,0.27399341847050146
9212_01Oct23_004415_01Oct23_010327,2,9,0.24457037428601944,0.20824622595249676
9212_01Oct23_004415_01Oct23_010327,2,10,0.2013076214555089,0.26215170113018643
9212_01Oct23_004415_01Oct23_010327,2,11,0.2354997135874646,0.4847557973699031
9212_01Oct23_004415_01Oct23_010327,2,12,0.27015566710129607,0.3932901086600321
9212_01Oct23_004415_01Oct23_010327,2,13,0.3459937632292782,0.3346652385725307
9212_01Oct23_004415_01Oct23_010327,2,14,0.3617659224092512,0.4208038495771005
9212_01Oct23_004415_01Oct23_010327,2,15,0.2684591365901467,0.46495104708955265
9212_01Oct23_004415_01Oct23_010327,2,16,0.1833588092454259,0.36319009898276056
9212_01Oct23_004415_01Oct23_010327,2,17,0.11842462723070646,0.19424683693709463
9212_01Oct23_004415_01Oct23_010327,2,18,0.10408763312481947,0.16467390498248538
9212_01Oct23_004415_01Oct23_010327,2,19,0.13960576035764227,0.09682313410331808
9212_01Oct23_004415_01Oct23_010327,2,20,0.06823090381206044,0.08870413161861726
