Unix_Time,arc_left_X1 (um),arc_right_X1 (um),doros_X1 (um),arc_left_Y1 (um),arc_right_Y1 (um),doros_Y1 (um),arc_left_X2 (um),arc_right_X2 (um),doros_X2 (um),arc_left_Y2 (um),arc_right_Y2 (um),doros_Y2 (um)
1696112242,0.1719465915217688,-0.0142656749141479,0.7971191406250001,-0.0157753574424163,0.1423206361706666,-0.8577270507812511,0.0816192803077226,-0.1767210105028293,0.0310533363711587,-0.0852156030559331,-0.2095017877925177,0.1239416659295998
1696112243,0.1883450597681401,-0.0034108343634735,0.8120117187499996,0.0149948097751004,0.2037181262182257,-0.8921813964843749,0.1033663102008669,-0.1002406301728119,0.0014452055101512,-0.1235746269104516,-0.2280725758954257,0.0926523583719186
1696112244,0.2419192861395878,0.0191668798816812,0.8455810546875,-0.021393048421686,0.133015729286294,-0.8576660156250011,0.0771375222227438,-0.1331119898756148,-0.0106042694448544,-0.0514660696196733,-0.2504101195328166,0.0498136277747832
1696112245,0.1648708813701993,-0.0506495018729192,0.7911376953125001,-0.0066866789787853,0.1625244402404042,-0.8978271484375004,0.1024139300744974,-0.0561678516874955,0.0340479126995318,-0.1829770898642469,-0.3201893618101946,0.0808887964417144
1696112246,0.094355735610777,-0.1448465423655393,0.791015625,-0.0050455770201309,0.172693158692363,-0.9003906250000003,0.0770488999959658,-0.0538227282816915,0.0105255554912299,-0.2073061830832342,-0.3135043709987065,0.1261462394701305
1696112247,0.203531719951741,0.0108311513085153,0.8104248046875002,0.0370626147233316,0.1787301584256187,-0.9110412597656254,0.0518588684555602,-0.0627796866442287,0.0627243291634902,-0.1001040712468166,-0.3261702133727866,0.0493810202163664
1696112248,0.1363178570139213,0.0434908970460462,0.7890624999999998,0.0602749951177912,0.207949645617,-0.9329528808593764,0.0934368738923047,-0.0568306486398847,0.0114218582891837,-0.0577406025624949,-0.3243197715364949,0.0784305178939876
1696112249,0.1452612743061737,0.0313322047083187,0.7927246093750002,-0.0084430602517073,0.1747307233561347,-0.8594360351562517,0.0575224746086278,-0.0682381888746564,-0.0092247740374657,-0.0014196354864175,-0.3292347972601097,0.1168077117970826
1696112250,0.0790008873857719,0.0537345119737935,0.7775878906250001,-0.0117562412258711,0.2053409153717216,-0.8257751464843763,0.0859606983149184,-0.0906409175706199,0.0341203702948801,-0.0433614518854396,-0.2752934904403047,0.0349386217120483
1696112251,0.1607925438399949,0.1270945552486465,0.8022460937499996,-0.0532980402532656,0.2055737407163993,-0.8242797851562497,0.0665007327961548,-0.0760195416179768,0.0310948188794377,-0.1300335808418331,-0.1786286694044239,0.0558019201823095
1696112252,-0.0343649768729663,0.020710818369284,0.8076171875,-0.1156879873581279,0.1049150387336461,-0.8341674804687504,0.1381485625383735,-0.1186508211653975,0.0804311853577453,-0.2047413885021503,-0.2068184944882386,0.0960495728761686
1696112253,0.1418321670414011,0.0545033346264585,0.7874755859374998,-0.0764749209181073,0.0966812809820458,-0.874816894531251,0.139631126883107,-0.0940648603915626,0.0421918784318122,-0.1106486308824524,-0.1927190240012789,0.0574074790075606
1696112254,0.141408619556189,0.1116451762821733,0.8261718750000002,-0.0230845189662155,0.1919628151164823,-0.7891540527343751,0.1888409014675189,-0.0486390768731871,0.0635728370526369,-0.0169548349081569,-0.2071613053751709,0.1684204017498836
1696112255,0.0302346055974826,-0.0431271048228368,0.8696289062499997,-0.0971364515309537,0.1912283918185591,-0.7848205566406247,0.1388441328858417,-0.0469268727326813,0.0123444663224571,0.0505036782730639,-0.2209041039079704,0.1192035391016095
1696112256,0.0960449371700907,0.0914306857138152,0.8591308593749998,-0.0978707397535929,0.2578052967721703,-0.8001403808593751,0.1022444892390474,-0.0489947284935144,0.0348440923674885,-0.0114485692987743,-0.2649117164150272,0.0451353897833369
1696112257,-0.0279877393470919,0.0060079665493775,0.7852783203124996,-0.1669812656606843,0.2125975153204785,-0.8137512207031263,0.1082331415750795,-0.0158471564692698,-0.0229623591402282,0.001368898224096,-0.2546618259386172,0.1115830216702226
1696112258,0.0192522021332719,-0.071645508683892,0.8289794921874999,-0.0487875963695816,0.2075321123913051,-0.7839050292968766,0.0709216304272615,-0.0253570618753908,0.0374990788684246,-0.0737836732234411,-0.2687837497247536,0.0630640369345155
1696112259,0.0301549460908043,-0.0009778048869917,0.8176269531249997,-0.0098983323703314,0.1545419334291776,-0.8043212890625017,0.1135330431949275,-0.0241730668420464,0.0566365909735473,-0.0222172263901671,-0.2522810412580226,0.035227465494238
1696112260,0.0443113776770156,0.0082177863378659,0.8508300781249999,-0.0112025654189768,0.1770077141187551,-0.7791442871093753,0.0749729376882732,-0.0422448747542055,0.0028697100147203,0.0675576431961978,-0.220131882678079,0.121400660799801
1696112261,0.1497452732409716,-0.0059762345584066,0.8157958984375,-0.0267119401930895,0.1238616102442901,-0.7951049804687506,0.0138603982607283,0.0120167442331761,0.0870706202231334,-0.0077993204831866,-0.2333503277444301,0.0359564723554352
1696112262,0.0761758303230535,0.007971203438452,0.8021240234375,-0.026175277624035,0.0986373977479117,-0.7650146484375003,0.072127318905534,-0.0829078320848605,0.1161635206219036,-0.0463435216460334,-0.1930008040006864,0.0506622482579807
1696112263,0.0135090580358888,-0.0424346820913259,0.7987060546875001,-0.0991844258561001,0.1092198621739797,-0.73480224609375,0.1298431394847048,-0.0539486843967684,0.1122879074172716,-0.0707184247007656,-0.2015236382269676,0.0952833406833418
1696112264,0.002886941795011,-0.0034432654219254,0.6824951171875002,-0.0955896938604693,0.1321159199353447,-0.7962341308593752,0.1394940481366181,-0.005081245101312,0.1976253197467323,-0.1272887424684731,-0.2125527174281126,0.0405440046154138
1696112265,-0.0196558139131428,0.0229283857920859,-0.3828125,-0.0412378305055948,0.1315332285373413,-0.7515869140625008,0.081227770266134,0.015516849392698,1.364064498162589,-0.1452885723241875,-0.2813025434622342,-4.928486975113081e-05
1696112266,-0.0244427280379509,0.1424982230111091,-3.468261718750001,-0.1801874909375806,0.0715569763983918,-0.7529602050781262,0.0858053957245574,0.0774414610407959,4.459997226415736,-0.0666802371432884,-0.2487359837242497,0.0425068812298339
1696112267,-0.1065458239534111,0.1899653923855199,-8.1534423828125,-0.2105965499930275,0.1401425096062046,-0.8129882812500008,0.1099528834748508,0.107132159444079,9.246854235819413,-0.0209252468778398,-0.2577183448772469,0.0117320442517892
1696112268,-0.0731601840691063,0.2967412005374795,-13.877441406250002,-0.1897632708536202,0.0952834446259175,-0.8097229003906251,0.0444598231176038,0.165281820508005,14.9055717455524,0.0973121435929993,-0.1755663427176526,0.0144549682820746
1696112269,-0.1921576240157352,0.3334031811986346,-19.615112304687504,-0.0582774900465399,0.1282406746878557,-0.8131408691406254,0.0004581117616236,0.1365475543852393,20.64763724554749,0.0187233682896656,-0.1859729727891272,-0.0352983159493757
1696112270,-0.2184413061317794,0.3326988634273081,-24.6925048828125,-0.0744884143047237,0.1222333003979603,-0.8429870605468759,0.0092475705888717,0.1116560713941324,25.806765667592035,0.1199628452339045,-0.1314962590402644,-0.0043409652582842
1696112271,-0.1519988959432052,0.3489425830222052,-28.410278320312504,-0.0109626471056485,0.1465787798152,-0.8755798339843763,0.0346253343345745,0.1373534836611318,29.492943508549285,0.0215548203892532,-0.1725827586939058,0.0426389578944821
1696112272,-0.2106360613905542,0.323455464405563,-30.248535156250004,0.0102845751386269,0.1287352052312945,-0.8629150390625016,0.0362539844862336,0.1746079769104414,31.392534515941165,0.0500775885295126,-0.050687204359736,0.0176077843667387
1696112273,-0.1731097493536807,0.2891729433320733,-30.668945312500004,0.0007921770742787,0.1174145258595817,-0.8358459472656254,-0.0079031963106616,0.1320051883222119,31.704578514035312,-0.0085950006957177,-0.0035781770258135,0.0299098129144714
1696112274,-0.1004575094192603,0.3083972075804825,-30.656127929687504,-0.0937782228896805,0.1291466424006135,-0.8354187011718747,-0.00083814315751,0.1307741197742566,31.731421414026503,-0.0714398728604265,-0.0071241414456179,0.0558438805785138
1696112275,-0.1332474904098644,0.2741477368714912,-30.621093750000004,-0.1024219404095742,0.0951974047350111,-0.8878173828125002,-0.041699189420894,0.0865418292732351,31.68065323207124,-0.0137201601941327,-0.0168832602654549,0.0465364866940854
1696112276,-0.1128174493250855,0.2749896192090341,-30.640747070312504,-0.0206276767144557,0.1228580136392974,-0.8568115234375014,-0.0608645469650002,0.1196992615509608,31.705537266293334,-0.0225170850054887,-0.0332838538406999,0.0882176700139482
1696112277,-0.2040983084749314,0.2360434460533014,-30.637451171875,-0.0704975085012147,0.0566705051729871,-0.8455505371093753,-0.0330759854803249,0.0960221421111928,31.71827965737973,-0.0342212233467155,-0.1237386533060135,0.020371212457721
1696112278,-0.1339392957865492,0.341809763526786,-30.6578369140625,-0.0427235016151412,0.0655382050132878,-0.913421630859376,-0.0551468788345671,0.0392588779727998,31.719176370814875,-0.0666289290711869,-0.1882880502772054,0.0383886721296707
1696112279,0.0463582212207064,0.2669694898713058,-30.653442382812504,-0.119758511570771,0.0232839015328037,-0.8984680175781259,-0.0626962557000267,0.0982420225252414,31.68281395506173,-0.0082398388717748,-0.145610364857461,0.0795774415895935
1696112280,-0.0100120256915691,0.2258184412630036,-30.6640625,-0.1551183106052387,0.0289623452799699,-0.8867187500000011,-0.0297532304638922,0.0535263044666825,31.603233475470084,-0.0103184938164683,-0.1053220014632157,0.0759819672699962
1696112281,-0.0183705278636457,0.2183583202990534,-30.671264648437504,-0.1688874584009632,0.0794380448985565,-0.8592529296875002,-0.005948476286729,0.1014072163387027,31.693998673937276,0.0343655276944823,-0.1610887295878538,0.0517326935781699
1696112282,-0.1479090951715776,0.1772446853147319,-30.648437500000004,-0.2394731655366407,0.1358153461053152,-0.8657531738281257,-0.0139228879633379,0.1213165065897948,31.63322524744196,0.0282382574192947,-0.1076246997794007,0.0291904547536216
